table,added_rows
banner_data,112
announce_event,7
card_data,28
card_rarity_data,84
card_talent_upgrade,112
support_card_data,45
support_card_effect_table,406
support_card_unique_effect,37
chara_data,19
chara_type,3814
chara_category_motion,12
chara_motion_set,900
character_prop_animation,11
dress_data,232
love_rank,2
skill_data,247
skill_set,306
available_skill_set,196
skill_level_value,20
character_system_text,3281
character_system_lottery,1201
face_type_data,10
nickname,37
champions_schedule,7
champions_round_schedule,42
champions_round_detail,98
champions_race_condition,49
champions_reward_rate,336
champions_news_chara_comment,156
champions_news_win_comment,144
circle_stamp_data,17
daily_legend_race,13
gacha_data,52
gacha_free_campaign,8
gacha_available,8039
gacha_exchange,70
gacha_top_bg,88
gacha_stock_campaign,2
gacha_stock_detail,4
short_episode,1
home_env_setting,32
home_walk_group,12
home_story_trigger,113
announce_data,36
announce_character,21
announce_support_card,14
home_event_schedule,6
jukebox_music_data,34
jukebox_request_data,81
jukebox_comment,30
jukebox_chara_tag_data,80
jukebox_reaction_data,474
home_eat,8
item_data,188
item_exchange,299
item_exchange_top,10
piece_data,28
item_group,4
item_place,39
price_change,16
limited_exchange,4
limited_exchange_reward,375
limited_exchange_reward_odds,21
legend_race,6
legend_race_boss_npc,6
legend_race_npc,94
live_data,33
live_permission_data,202
login_bonus_data,45
login_bonus_detail,83
mission_data,598
race,187
race_bib_color,17
race_course_set,14
race_course_set_status,2
race_env_define,240
race_fence_set,3
race_instance,362
race_bgm,40
race_bgm_cutin_extension_time,40
race_bgm_cutin,3
race_jikkyo_base,194
race_jikkyo_comment,21
race_jikkyo_cue,49
race_jikkyo_message,51
race_jikkyo_race,63
race_jikkyo_trigger,42
race_track,3
race_trophy,138
race_trophy_reward,23
mob_data,1
mob_dress_color_set,1
mob_hair_color_set,1
daily_pack,3
single_mode_program,37
single_mode_training,22
single_mode_training_effect,56
single_mode_top_bg,13
single_mode_race_live,14
single_mode_npc,433
succession_factor,253
succession_initial_factor,3
succession_factor_effect,629
succession_relation,592
succession_relation_member,760
single_mode_wins_saddle,166
single_mode_hint_gain,434
single_mode_reward_set,64
single_mode_fan_count,72
single_mode_route_race,152
single_mode_route,12
single_mode_scenario,1
single_mode_skill_need_point,118
single_mode_rival,782
single_mode_turn,78
single_mode_race_group,35
single_mode_tag_card_pos,645
single_mode_evaluation,4
single_mode_chara_effect,3
single_mode_unique_chara,9
single_mode_chara_program,140
single_mode_event_production,13
single_mode_event_item_detail,1
single_mode_story_data,1597
single_mode_event_conclusion,48
single_mode_conclusion_set,135
single_mode_member_rank_points,4
single_mode_scout_chara,43
single_mode_special_chara,5
single_mode_scenario_record,9
single_mode_story_guide,1
single_mode_restrict_support,1
single_mode_change_chara_route,12
background_data,59
event_motion_data,130
main_story_part,5
chara_story_data,84
story_live_position,21
story_still,14
story_hip_offset,41
homestory_hip_offset,15
audio_story_effect,3
background_offset_data,70
story_extra_data,1
story_extra_story_data,3
story_event_data,8
story_event_point_reward,1714
story_event_bonus_card,51
story_event_bonus_support_card,119
story_event_bonus_group_support_card,5
story_event_mission,302
story_event_win_bonus,210
story_event_nickname_bonus,21
story_event_story_data,56
story_event_top_chara,91
story_event_mission_top_chara,14
story_event_roulette_bingo,28
story_event_bingo_reward,112
challenge_match_data,1
challenge_match_race,6
challenge_match_boss_npc,6
challenge_match_race_npc,66
transfer_event_data,6
transfer_event_detail,39
transfer_event_reward,91
text_data,8582
topics,12
honor_data,143
gift_message,12
tutorial_guide_data,19
training_cutt_chara_data,23
mini_motion_set,1
team_stadium_race_result_motion,10
note_profile,17
campaign_data,102
campaign_chara_story_schedule,104
campaign_single_race_add_data,25
campaign_single_race_add_reward,75
training_challenge_master,3
training_challenge_score,193
training_challenge_exam,7
fan_raid_data,1
fan_raid_top_data,4
team_building_basic_reward,10
team_building_chara_group,10
team_building_collection_chara,68
team_building_collection_set,5
team_building_data,1
team_building_discount_point,6
team_building_race,9
team_building_race_npc,4
team_building_rank,11
team_building_rank_reward_group,12
team_building_scout_point,69
training_report_pass,6
training_report_normal_reward,70
training_report_special_reward,89
