champions_id,start_date,end_date,notice_date,round_id,race_instance_id,race_condition_id,race_id,race_name,start_time,end_time,notice_time
1,1699848000,1700711999,-28800,0,600005,1,6005,金牛杯,2023-11-13 12:00:00,2023-11-23 11:59:59,1970-01-01 00:00:00
2,1702526400,1703390399,-28800,0,600006,1,6006,双子杯,2023-12-14 12:00:00,2023-12-24 11:59:59,1970-01-01 00:00:00
3,1705982400,1706759999,-28800,0,600007,8,6007,巨蟹杯,2024-01-23 12:00:00,2024-02-01 11:59:59,1970-01-01 00:00:00
4,1708660800,1709524799,-28800,0,600008,7,6008,狮子杯,2024-02-23 12:00:00,2024-03-04 11:59:59,1970-01-01 00:00:00
5,1748318400,1749182399,-28800,0,600009,13,6009,室女杯,2025-05-27 12:00:00,2025-06-06 11:59:59,1970-01-01 00:00:00
6,1749787200,1750651199,-28800,0,600010,13,6010,天秤杯,2025-06-13 12:00:00,2025-06-23 11:59:59,1970-01-01 00:00:00
7,1751428800,1752292799,-28800,0,600011,17,6011,天蝎杯,2025-07-02 12:00:00,2025-07-12 11:59:59,1970-01-01 00:00:00
8,1753070400,1753934399,-28800,0,600012,19,6012,人马杯,2025-07-21 12:00:00,2025-07-31 11:59:59,1970-01-01 00:00:00
9,1754712000,1755575999,-28800,0,600001,26,6001,摩羯杯,2025-08-09 12:00:00,2025-08-19 11:59:59,1970-01-01 00:00:00
10,1756180800,1757044799,-28800,0,600002,19,6002,宝瓶杯,2025-08-26 12:00:00,2025-09-05 11:59:59,1970-01-01 00:00:00
11,1757995200,1758859199,-28800,0,600003,6,6003,双鱼杯,2025-09-16 12:00:00,2025-09-26 11:59:59,1970-01-01 00:00:00
12,1759982400,1760759999,-28800,0,600004,1,6004,白羊杯,2025-10-09 12:00:00,2025-10-18 11:59:59,1970-01-01 00:00:00
13,1761624000,1762487999,-28800,0,600029,1,6029,金牛杯,2025-10-28 12:00:00,2025-11-07 11:59:59,1970-01-01 00:00:00
14,1763352000,1764215999,-28800,0,600030,1,6030,双子杯,2025-11-17 12:00:00,2025-11-27 11:59:59,1970-01-01 00:00:00
15,1765080000,1765857599,-28800,0,600031,10,6031,巨蟹杯,2025-12-07 12:00:00,2025-12-16 11:59:59,1970-01-01 00:00:00
16,1766721600,1767499199,-28800,0,600032,7,6032,狮子杯,2025-12-26 12:00:00,2026-01-04 11:59:59,1970-01-01 00:00:00
17,1768536000,1769313599,-28800,0,600033,14,6033,室女杯,2026-01-16 12:00:00,2026-01-25 11:59:59,1970-01-01 00:00:00
18,1770264000,1771041599,-28800,0,600034,15,6034,天秤杯,2026-02-05 12:00:00,2026-02-14 11:59:59,1970-01-01 00:00:00
19,1771905600,1772769599,-28800,0,600035,13,6035,天蝎杯,2026-02-24 12:00:00,2026-03-06 11:59:59,1970-01-01 00:00:00
20,1773892800,1774670399,-28800,0,600036,22,6036,人马杯,2026-03-19 12:00:00,2026-03-28 11:59:59,1970-01-01 00:00:00
21,1775620800,1776484799,-28800,0,600025,19,6025,摩羯杯,2026-04-08 12:00:00,2026-04-18 11:59:59,1970-01-01 00:00:00
22,1777176000,1778039999,-28800,0,600026,26,6026,宝瓶杯,2026-04-26 12:00:00,2026-05-06 11:59:59,1970-01-01 00:00:00
23,1779163200,1780027199,-28800,0,600027,1,6027,双鱼杯,2026-05-19 12:00:00,2026-05-29 11:59:59,1970-01-01 00:00:00
24,1781064000,1781841599,-28800,0,600028,1,6028,白羊杯,2026-06-10 12:00:00,2026-06-19 11:59:59,1970-01-01 00:00:00
25,1784174400,1785038399,-28800,0,600049,6,6049,群英联赛,2026-07-16 12:00:00,2026-07-26 11:59:59,1970-01-01 00:00:00
26,1787198400,1788062399,-28800,0,600051,7,6051,群英联赛,2026-08-20 12:00:00,2026-08-30 11:59:59,1970-01-01 00:00:00
