free_campaign_id,gacha_id,pool_type,target_draw_type,target_draw_desc,start_time,end_time,start_time_str,end_time_str,pickup_cards
1,30002,角色卡池,1,单抽免费,1693342800,1693886399,2023-08-30 05:00:00,2023-09-05 11:59:59,"[特别追梦者]特别周, [无声无瑕]无声铃鹿, [喜乐无边]东海帝王, [绯红方程式]丸善斯基, [星光跃动]小栗帽, [狂野前线]大树快车, [优雅曲线]目白麦昆, [皇帝]鲁道夫象征, [玫瑰之梦]米浴"
2,30005,支援卡池,1,单抽免费,1693886400,1694491199,2023-09-05 12:00:00,2023-09-12 11:59:59,"[特雷森学园]东商变革, [见习魔女与漫漫长夜]东商变革, [“要受人喜爱啊”]小栗帽"
3,30015,支援卡池,1,单抽免费,1698984000,1699502399,2023-11-03 12:00:00,2023-11-09 11:59:59,"[特雷森学园]八重无敌, [特雷森学园]荒漠英雄, [推荐你读这本书！]荒漠英雄, [心中的烈火无法抑制]八重无敌"
4,30016,角色卡池,1,单抽免费,1699502400,1700254799,2023-11-09 12:00:00,2023-11-18 04:59:59,[绝对☆LOVE]醒目飞鹰
5,30034,角色卡池,1,单抽免费,1709092800,1709524799,2024-02-28 12:00:00,2024-03-04 11:59:59,[苍蓝/怒涛]名将怒涛
6,30036,角色卡池,1,单抽免费,1709524800,1709758799,2024-03-04 12:00:00,2024-03-07 04:59:59,[Meisterschaft]荣进闪耀
7,30037,支援卡池,1,单抽免费,1709758800,1710475199,2024-03-07 05:00:00,2024-03-15 11:59:59,"[特雷森学园]岛川乔丹, [nail on Turf]岛川乔丹, [即使满身泥土，也要追逐梦想]优秀素质"
223301,30039,支援卡池,10,十连免费,1747861200,1748836799,2025-05-22 05:00:00,2025-06-02 11:59:59,"[特雷森学园]㭴本理子, [幸福就在转角后]米浴, [彻底管理主义]㭴本理子"
9,30060,角色卡池,10,十连免费,1753416000,1753761599,2025-07-25 12:00:00,2025-07-29 11:59:59,[疾风迅雷]玉藻十字
10,30063,支援卡池,10,十连免费,1753761600,1754254799,2025-07-29 12:00:00,2025-08-04 04:59:59,"[特雷森学园]爱慕织姬, [夜有黎明，天有祥星]爱慕织姬, [萍水相逢即是福♪]待兼福来"
11,30070,角色卡池,1,单抽免费,1756180800,1756353599,2025-08-26 12:00:00,2025-08-28 11:59:59,[墨绿柔线]目白雅丹
12,30072,角色卡池,1,单抽免费,1756353600,1756587599,2025-08-28 12:00:00,2025-08-31 04:59:59,[Starry Nocturne]爱慕织姬
13,30073,支援卡池,1,单抽免费,1756587600,1757044799,2025-08-31 05:00:00,2025-09-05 11:59:59,"[全身心的感谢]美妙姿势, [身为新娘！]川上公主"
14,30074,角色卡池,10,十连免费,1757044800,1757537999,2025-09-05 12:00:00,2025-09-11 04:59:59,"[跌跌撞撞向前冲]待兼唐怀瑟, [锦绣·溢彩盛典]北部玄驹"
15,30075,支援卡池,10,十连免费,1757538000,1757995199,2025-09-11 05:00:00,2025-09-16 11:59:59,"[特雷森学园]目白光明, [特雷森学园]成田路, [心跳加速的放松运动]目白莱恩, [目标是一等星]爱慕织姬, [响彻吧！模范式问候！]樱花进王, [粉色背影]成田路"
17,30076,角色卡池,1,单抽免费,1757995200,1758945599,2025-09-16 12:00:00,2025-09-27 11:59:59,[Natural Brilliance]里见光钻
16,30077,支援卡池,10,十连免费,1757995200,1758056399,2025-09-16 12:00:00,2025-09-17 04:59:59,"[温馨♪可爱的回忆]真机伶, [让世界更加☆marvelous]美丽周日"
18,30079,支援卡池,1,单抽免费,1758945600,1759895999,2025-09-27 12:00:00,2025-10-08 11:59:59,"[被授予魔力的英雄]荒漠英雄, [可爱的你，美丽的你]真机伶"
19,30087,支援卡池,1,单抽免费,1760932800,1761771599,2025-10-20 12:00:00,2025-10-30 04:59:59,"[收下这份鼓励吧！]青竹回忆, [那声加油改变了世界]采珠"
20,30086,角色卡池,1,单抽免费,1761771600,1761969599,2025-10-30 05:00:00,2025-11-01 11:59:59,"[RUN＆WIN]优秀素质, [洁白傲气的激励之服]帝王光辉"
21,30088,角色卡池,1,单抽免费,1761969600,1762635599,2025-11-01 12:00:00,2025-11-09 04:59:59,[全时狂欢]艾尼风神
22,30106,角色卡池,1,单抽免费,1766894400,1767153599,2025-12-28 12:00:00,2025-12-31 11:59:59,[黑铁的壮志]青竹回忆
23,30108,角色卡池,1,单抽免费,1767153600,1767585599,2025-12-31 12:00:00,2026-01-05 11:59:59,[阴阳八卦☆开运服]小林历奇
24,30111,支援卡池,10,十连免费,1767585600,1768017599,2026-01-05 12:00:00,2026-01-10 11:59:59,"[活动制作人]明亮光晕, [from the GROUND UP]明亮光晕, [Q≠0]爱丽速子"
25,30113,支援卡池,10,十连免费,1768017600,1768424399,2026-01-10 12:00:00,2026-01-15 04:59:59,"[帝王！王！王！！！]东海帝王, [TT Ignition！]双涡轮"
26,30139,支援卡池,10,十连免费,1774670400,1775015999,2026-03-28 12:00:00,2026-04-01 11:59:59,"[平安喜乐寄于板羽球中]特别周, [难以捉摸的绝世佳人]东商变革"
27,30138,角色卡池,10,十连免费,1775016000,1775509199,2026-04-01 12:00:00,2026-04-07 04:59:59,"[压轴主角·庆鹤之志]北部玄驹, [当红之星·荣兴之翠]里见光钻"
28,30148,角色卡池,1,单抽免费,1777176000,1777582799,2026-04-26 12:00:00,2026-05-01 04:59:59,[Wicked Punk]新光风
29,30149,支援卡池,1,单抽免费,1777582800,1778039999,2026-05-01 05:00:00,2026-05-06 11:59:59,"[饱含心意的纸杯蛋糕]西野花, [小感伤预警♪]丸善斯基"
