Exchange ID,Top ID,Disp Order,Pay Item Name,Pay Item Num,Change Item Name,Change Item Num,Start Date,End Date
27,2000,202,好友积分,1000,增加可关注上限,1,2023-08-16 21:00:00,2050-08-01 15:59:59
2001,2000,20,好友积分,10000,[乌菈菈～的休息日]春乌菈菈,1,2023-08-16 21:00:00,2050-08-01 15:59:59
2002,2000,4,好友积分,2000,米浴的碎片,5,2023-08-16 21:00:00,2023-09-30 20:59:59
2003,2000,4,好友积分,2000,黄金船的碎片,5,2023-11-03 04:00:00,2023-11-17 20:59:59
2004,2000,5,好友积分,1500,协助积分,1000,2023-11-03 04:00:00,2023-11-17 20:59:59
2005,2000,21,好友积分,20000,养成优俊少女招募券,1,2017-05-31 16:00:00,2050-08-01 15:59:59
2006,2000,22,好友积分,20000,协助卡招募券,1,2017-05-31 16:00:00,2050-08-01 15:59:59
2007,2000,1,好友积分,2000,黄金船的碎片,5,2025-10-20 04:00:00,2025-11-08 20:59:59
2008,2000,2,好友积分,3000,特别周的碎片,5,2025-10-20 04:00:00,2025-11-08 20:59:59
2009,2000,1,好友积分,3000,小栗帽的碎片,5,2026-03-05 04:00:00,2026-03-28 15:59:59
2010,2000,2,好友积分,3000,琵琶晨光的碎片,5,2026-03-05 04:00:00,2026-03-28 15:59:59
2011,2000,5,好友积分,3000,好歌剧的碎片,5,2026-06-15 04:00:00,2026-07-12 20:59:59
2012,2000,6,好友积分,3000,爱慕织姬的碎片,5,2026-06-15 04:00:00,2026-07-12 20:59:59
2013,2000,1,好友积分,3000,黄金城的碎片,5,2026-06-20 04:00:00,2026-07-09 20:59:59
2014,2000,2,好友积分,3000,岛川乔丹的碎片,5,2026-06-20 04:00:00,2026-07-09 20:59:59
2015,2000,3,好友积分,3000,目白善信的碎片,5,2026-06-20 04:00:00,2026-07-09 20:59:59
2016,2000,4,好友积分,3000,大拓太阳神的碎片,5,2026-06-20 04:00:00,2026-07-09 20:59:59
2201,2000,201,好友积分,1000,协助积分,1000,2023-08-16 21:00:00,2050-08-01 15:59:59
2301,2000,301,好友积分,1000,二月锦标赛优胜锦旗,1,2023-08-16 21:00:00,2050-08-01 15:59:59
2302,2000,302,好友积分,1000,中京短途赛优胜锦旗,1,2023-08-16 21:00:00,2050-08-01 15:59:59
2303,2000,303,好友积分,1000,维多利亚英里赛优胜锦旗,1,2023-08-16 21:00:00,2050-08-01 15:59:59
2304,2000,304,好友积分,1000,全国德比优胜锦旗,1,2023-08-16 21:00:00,2050-08-01 15:59:59
2305,2000,305,好友积分,1000,东京英里赛优胜锦旗,1,2023-08-16 21:00:00,2050-08-01 15:59:59
2306,2000,306,好友积分,1000,英里冠军赛优胜锦旗,1,2023-08-16 21:00:00,2050-08-01 15:59:59
2307,2000,101,好友积分,1000,启发书,1,2025-09-05 04:00:00,2026-09-01 03:59:59
2308,2000,102,好友积分,2000,启发专业书,1,2025-09-05 04:00:00,2026-09-01 03:59:59
2309,2000,110,好友积分,4000,稀有启发书,1,2025-09-05 04:00:00,2026-09-01 03:59:59
2310,2000,111,好友积分,6000,稀有启发专业书,1,2025-09-05 04:00:00,2026-09-01 03:59:59
2311,2000,307,好友积分,1000,东京盛典赛优胜锦旗,1,2025-12-16 04:00:00,2050-08-01 15:59:59
2312,2000,308,好友积分,1000,柏市纪念优胜锦旗,1,2025-12-16 04:00:00,2050-08-01 15:59:59
2313,2000,50,好友积分,1000,收藏室钥匙,1,2025-12-16 04:00:00,2050-08-01 15:59:59
2314,2000,101,好友积分,250,启发书,1,2026-09-01 04:00:00,2050-08-01 15:59:59
2315,2000,102,好友积分,500,启发专业书,1,2026-09-01 04:00:00,2050-08-01 15:59:59
2316,2000,110,好友积分,1000,稀有启发书,1,2026-09-01 04:00:00,2050-08-01 15:59:59
2317,2000,111,好友积分,1500,稀有启发专业书,1,2026-09-01 04:00:00,2050-08-01 15:59:59
3101,3000,100101,女神像,1,特别周的碎片,1,2017-06-30 17:00:00,2050-08-01 15:59:59
3102,3000,100201,女神像,1,无声铃鹿的碎片,1,2017-06-30 17:00:00,2050-08-01 15:59:59
3103,3000,100301,女神像,1,东海帝王的碎片,1,2017-06-30 17:00:00,2050-08-01 15:59:59
3104,3000,100401,女神像,1,丸善斯基的碎片,1,2017-06-30 17:00:00,2050-08-01 15:59:59
