champions_id,start_date,end_date,notice_date,round_id,race_instance_id,race_condition_id,race_id,race_name,start_time,end_time,notice_time
1,1620615600,1621479599,-32400,0,600005,1,6005,金牛杯,2021-05-10 11:00:00,2021-05-20 10:59:59,1969-12-31 23:00:00
2,1623294000,1624157999,-32400,0,600006,1,6006,双子杯,2021-06-10 11:00:00,2021-06-20 10:59:59,1969-12-31 23:00:00
3,1626750000,1627527599,-32400,0,600007,8,6007,巨蟹杯,2021-07-20 11:00:00,2021-07-29 10:59:59,1969-12-31 23:00:00
4,1629428400,1630292399,-32400,0,600008,7,6008,狮子杯,2021-08-20 11:00:00,2021-08-30 10:59:59,1969-12-31 23:00:00
5,1631847600,1632711599,-32400,0,600009,13,6009,室女杯,2021-09-17 11:00:00,2021-09-27 10:59:59,1969-12-31 23:00:00
6,1634526000,1635389999,-32400,0,600010,13,6010,天秤杯,2021-10-18 11:00:00,2021-10-28 10:59:59,1969-12-31 23:00:00
7,1637290800,1638154799,-32400,0,600011,17,6011,天蝎杯,2021-11-19 11:00:00,2021-11-29 10:59:59,1969-12-31 23:00:00
8,1639710000,1640573999,-32400,0,600012,19,6012,人马杯,2021-12-17 11:00:00,2021-12-27 10:59:59,1969-12-31 23:00:00
9,1642474800,1643338799,-32400,0,600001,26,6001,摩羯杯,2022-01-18 11:00:00,2022-01-28 10:59:59,1969-12-31 23:00:00
10,1644807600,1645671599,-32400,0,600002,19,6002,宝瓶杯,2022-02-14 11:00:00,2022-02-24 10:59:59,1969-12-31 23:00:00
11,1647572400,1648436399,-32400,0,600003,6,6003,双鱼杯,2022-03-18 11:00:00,2022-03-28 10:59:59,1969-12-31 23:00:00
12,1650337200,1651114799,-32400,0,600004,1,6004,白羊杯,2022-04-19 11:00:00,2022-04-28 10:59:59,1969-12-31 23:00:00
13,1653015600,1653879599,-32400,0,600029,1,6029,金牛杯,2022-05-20 11:00:00,2022-05-30 10:59:59,1969-12-31 23:00:00
14,1654830000,1655693999,-32400,0,600030,1,6030,双子杯,2022-06-10 11:00:00,2022-06-20 10:59:59,1969-12-31 23:00:00
15,1657508400,1658285999,-32400,0,600031,10,6031,巨蟹杯,2022-07-11 11:00:00,2022-07-20 10:59:59,1969-12-31 23:00:00
16,1660100400,1660877999,-32400,0,600032,7,6032,狮子杯,2022-08-10 11:00:00,2022-08-19 10:59:59,1969-12-31 23:00:00
17,1662951600,1663729199,-32400,0,600033,14,6033,室女杯,2022-09-12 11:00:00,2022-09-21 10:59:59,1969-12-31 23:00:00
18,1665457200,1666234799,-32400,0,600034,15,6034,天秤杯,2022-10-11 11:00:00,2022-10-20 10:59:59,1969-12-31 23:00:00
19,1667962800,1668826799,-32400,0,600035,13,6035,天蝎杯,2022-11-09 11:00:00,2022-11-19 10:59:59,1969-12-31 23:00:00
20,1670814000,1671591599,-32400,0,600036,22,6036,人马杯,2022-12-12 11:00:00,2022-12-21 10:59:59,1969-12-31 23:00:00
21,1673319600,1674183599,-32400,0,600025,19,6025,摩羯杯,2023-01-10 11:00:00,2023-01-20 10:59:59,1969-12-31 23:00:00
22,1676257200,1677121199,-32400,0,600026,26,6026,宝瓶杯,2023-02-13 11:00:00,2023-02-23 10:59:59,1969-12-31 23:00:00
23,1678417200,1679281199,-32400,0,600027,1,6027,双鱼杯,2023-03-10 11:00:00,2023-03-20 10:59:59,1969-12-31 23:00:00
24,1681095600,1681873199,-32400,0,600028,1,6028,白羊杯,2023-04-10 11:00:00,2023-04-19 10:59:59,1969-12-31 23:00:00
25,1686279600,1687143599,-32400,0,600049,6,6049,群英联赛,2023-06-09 11:00:00,2023-06-19 10:59:59,1969-12-31 23:00:00
26,1691982000,1692845999,-32400,0,600051,7,6051,群英联赛,2023-08-14 11:00:00,2023-08-24 10:59:59,1969-12-31 23:00:00
27,1696906800,1697684399,-32400,0,600053,17,6053,チャンピオンズミーティング,2023-10-10 11:00:00,2023-10-19 10:59:59,1969-12-31 23:00:00
28,1702263600,1703041199,-32400,0,600055,26,6055,チャンピオンズミーティング,2023-12-11 11:00:00,2023-12-20 10:59:59,1969-12-31 23:00:00
29,1707879600,1708743599,-32400,0,600057,22,6057,チャンピオンズミーティング,2024-02-14 11:00:00,2024-02-24 10:59:59,1969-12-31 23:00:00
30,1712631600,1713495599,-32400,0,600059,27,6059,チャンピオンズミーティング,2024-04-09 11:00:00,2024-04-19 10:59:59,1969-12-31 23:00:00
31,1718593200,1719370799,-32400,0,600061,35,6061,チャンピオンズミーティング,2024-06-17 11:00:00,2024-06-26 10:59:59,1969-12-31 23:00:00
32,1724295600,1725073199,-32400,0,600063,7,6063,チャンピオンズミーティング,2024-08-22 11:00:00,2024-08-31 10:59:59,1969-12-31 23:00:00
33,1729393200,1730170799,-32400,0,600065,13,6065,チャンピオンズミーティング,2024-10-20 11:00:00,2024-10-29 10:59:59,1969-12-31 23:00:00
34,1734577200,1735354799,-32400,0,600067,22,6067,チャンピオンズミーティング,2024-12-19 11:00:00,2024-12-28 10:59:59,1969-12-31 23:00:00
35,1737342000,1738205999,-32400,0,600069,23,6069,チャンピオンズミーティング,2025-01-20 11:00:00,2025-01-30 10:59:59,1969-12-31 23:00:00
36,1742526000,1743389999,-32400,0,600071,1,6071,チャンピオンズミーティング,2025-03-21 11:00:00,2025-03-31 10:59:59,1969-12-31 23:00:00
37,1745031600,1745895599,-32400,0,600073,1,6073,チャンピオンズミーティング,2025-04-19 11:00:00,2025-04-29 10:59:59,1969-12-31 23:00:00
38,1750129200,1750993199,-32400,0,600075,1,6075,チャンピオンズミーティング,2025-06-17 11:00:00,2025-06-27 10:59:59,1969-12-31 23:00:00
39,1753153200,1753930799,-32400,0,600077,10,6077,チャンピオンズミーティング,2025-07-22 11:00:00,2025-07-31 10:59:59,1969-12-31 23:00:00
40,1758250800,1759028399,-32400,0,600079,13,6079,チャンピオンズミーティング,2025-09-19 11:00:00,2025-09-28 10:59:59,1969-12-31 23:00:00
41,1760929200,1761706799,-32400,0,600081,15,6081,チャンピオンズミーティング,2025-10-20 11:00:00,2025-10-29 10:59:59,1969-12-31 23:00:00
