factor_research_event_id,event_name,chara_id,chara_name,dress_id,dress_name,consume_tp_ratio,bonus_reward_ratio,result_type,notice_date,start_date,ending_date,end_date,notice_date_str,start_date_str,ending_date_str,end_date_str
1001,爱丽速子的因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1679194800,1679281200,1680058799,1680317999,2023-03-19 11:00:00,2023-03-20 11:00:00,2023-03-29 10:59:59,2023-04-01 10:59:59
1002,爱丽速子的因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1687057200,1687143600,1688007599,1688266799,2023-06-18 11:00:00,2023-06-19 11:00:00,2023-06-29 10:59:59,2023-07-02 10:59:59
1003,爱丽速子的因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1697598000,1697684400,1698634799,1698893999,2023-10-18 11:00:00,2023-10-19 11:00:00,2023-10-30 10:59:59,2023-11-02 10:59:59
1004,爱丽速子的因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1705546800,1705633200,1706669999,1706929199,2024-01-18 11:00:00,2024-01-19 11:00:00,2024-01-31 10:59:59,2024-02-03 10:59:59
1005,アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1710903600,1710990000,1711681199,1711940399,2024-03-20 11:00:00,2024-03-21 11:00:00,2024-03-29 10:59:59,2024-04-01 10:59:59
1006,劇場版『ウマ娘』公開記念 アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1716260400,1716346800,1717037999,1717297199,2024-05-21 11:00:00,2024-05-22 11:00:00,2024-05-30 10:59:59,2024-06-02 10:59:59
1007,アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1720407600,1720494000,1721357999,1721617199,2024-07-08 11:00:00,2024-07-09 11:00:00,2024-07-19 10:59:59,2024-07-22 10:59:59
1008,アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1725850800,1725937200,1726801199,1727060399,2024-09-09 11:00:00,2024-09-10 11:00:00,2024-09-20 10:59:59,2024-09-23 10:59:59
1009,アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1730948400,1731034800,1731898799,1732157999,2024-11-07 11:00:00,2024-11-08 11:00:00,2024-11-18 10:59:59,2024-11-21 10:59:59
1010,アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1736391600,1736478000,1737341999,1737601199,2025-01-09 11:00:00,2025-01-10 11:00:00,2025-01-20 10:59:59,2025-01-23 10:59:59
1011,アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1741575600,1741662000,1742525999,1742785199,2025-03-10 11:00:00,2025-03-11 11:00:00,2025-03-21 10:59:59,2025-03-24 10:59:59
1012,アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1746932400,1747018800,1747796399,1748055599,2025-05-11 11:00:00,2025-05-12 11:00:00,2025-05-21 10:59:59,2025-05-24 10:59:59
1013,アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1752116400,1752202800,1753153199,1753412399,2025-07-10 11:00:00,2025-07-11 11:00:00,2025-07-22 10:59:59,2025-07-25 10:59:59
1014,アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1757300400,1757386800,1758250799,1758509999,2025-09-08 11:00:00,2025-09-09 11:00:00,2025-09-19 10:59:59,2025-09-22 10:59:59
1015,アグネスタキオンの因子研究,1032,爱丽速子,103201,[tach-nology],20000,20000,2,1759978800,1760065200,1760842799,1761101999,2025-10-09 11:00:00,2025-10-10 11:00:00,2025-10-19 10:59:59,2025-10-22 10:59:59
