free_campaign_id,gacha_id,pool_type,target_draw_type,target_draw_desc,start_time,end_time,start_time_str,end_time_str,pickup_cards
1,30002,角色卡池,1,单抽免费,1614110400,1614653999,2021-02-24 04:00:00,2021-03-02 10:59:59,"[特别追梦者]特别周, [无声无瑕]无声铃鹿, [喜乐无边]东海帝王, [绯红方程式]丸善斯基, [星光跃动]小栗帽, [狂野前线]大树快车, [优雅曲线]目白麦昆, [皇帝]鲁道夫象征, [玫瑰之梦]米浴"
2,30005,支援卡池,1,单抽免费,1614654000,1615258799,2021-03-02 11:00:00,2021-03-09 10:59:59,"[特雷森学园]东商变革, [见习魔女与漫漫长夜]东商变革, [“要受人喜爱啊”]小栗帽"
3,30015,支援卡池,1,单抽免费,1619751600,1620269999,2021-04-30 11:00:00,2021-05-06 10:59:59,"[特雷森学园]八重无敌, [特雷森学园]荒漠英雄, [推荐你读这本书！]荒漠英雄, [心中的烈火无法抑制]八重无敌"
4,30016,角色卡池,1,单抽免费,1620270000,1621022399,2021-05-06 11:00:00,2021-05-15 03:59:59,[绝对☆LOVE]醒目飞鹰
5,30034,角色卡池,1,单抽免费,1629082800,1629428399,2021-08-16 11:00:00,2021-08-20 10:59:59,[苍蓝/怒涛]名将怒涛
6,30036,角色卡池,1,单抽免费,1629428400,1629748799,2021-08-20 11:00:00,2021-08-24 03:59:59,[Meisterschaft]荣进闪耀
7,30037,支援卡池,1,单抽免费,1629748800,1630292399,2021-08-24 04:00:00,2021-08-30 10:59:59,"[特雷森学园]岛川乔丹, [nail on Turf]岛川乔丹, [即使满身泥土，也要追逐梦想]优秀素质"
8,30039,支援卡池,1,单抽免费,1630292400,1630612799,2021-08-30 11:00:00,2021-09-03 03:59:59,"[特雷森学园]㭴本理子, [幸福就在转角后]米浴, [彻底管理主义]㭴本理子"
9,30060,角色卡池,10,十连免费,1640574000,1640919599,2021-12-27 11:00:00,2021-12-31 10:59:59,[疾风迅雷]玉藻十字
10,30063,支援卡池,10,十连免费,1640919600,1641412799,2021-12-31 11:00:00,2022-01-06 03:59:59,"[特雷森学园]爱慕织姬, [夜有黎明，天有祥星]爱慕织姬, [萍水相逢即是福♪]待兼福来"
11,30070,角色卡池,1,单抽免费,1644807600,1644980399,2022-02-14 11:00:00,2022-02-16 10:59:59,[墨绿柔线]目白雅丹
12,30072,角色卡池,1,单抽免费,1644980400,1645214399,2022-02-16 11:00:00,2022-02-19 03:59:59,[Starry Nocturne]爱慕织姬
13,30073,支援卡池,1,单抽免费,1645214400,1645671599,2022-02-19 04:00:00,2022-02-24 10:59:59,"[全身心的感谢]美妙姿势, [身为新娘！]川上公主"
14,30074,角色卡池,10,十连免费,1645671600,1646164799,2022-02-24 11:00:00,2022-03-02 03:59:59,"[跌跌撞撞向前冲]待兼唐怀瑟, [锦绣·溢彩盛典]北部玄驹"
15,30075,支援卡池,10,十连免费,1646164800,1646621999,2022-03-02 04:00:00,2022-03-07 10:59:59,"[特雷森学园]目白光明, [特雷森学园]成田路, [心跳加速的放松运动]目白莱恩, [目标是一等星]爱慕织姬, [响彻吧！模范式问候！]樱花进王, [粉色背影]成田路"
17,30076,角色卡池,1,单抽免费,1646622000,1647572399,2022-03-07 11:00:00,2022-03-18 10:59:59,[Natural Brilliance]里见光钻
16,30077,支援卡池,10,十连免费,1646622000,1646683199,2022-03-07 11:00:00,2022-03-08 03:59:59,"[温馨♪可爱的回忆]真机伶, [让世界更加☆marvelous]美丽周日"
18,30079,支援卡池,1,单抽免费,1647572400,1648522799,2022-03-18 11:00:00,2022-03-29 10:59:59,"[被授予魔力的英雄]荒漠英雄, [可爱的你，美丽的你]真机伶"
19,30087,支援卡池,1,单抽免费,1651114800,1651953599,2022-04-28 11:00:00,2022-05-08 03:59:59,"[收下这份鼓励吧！]青竹回忆, [那声加油改变了世界]采珠"
20,30086,角色卡池,1,单抽免费,1651953600,1652151599,2022-05-08 04:00:00,2022-05-10 10:59:59,"[RUN＆WIN]优秀素质, [洁白傲气的激励之服]帝王光辉"
21,30088,角色卡池,1,单抽免费,1652151600,1652817599,2022-05-10 11:00:00,2022-05-18 03:59:59,[全时狂欢]艾尼风神
22,30106,角色卡池,1,单抽免费,1660618800,1660877999,2022-08-16 11:00:00,2022-08-19 10:59:59,[黑铁的壮志]青竹回忆
23,30108,角色卡池,1,单抽免费,1660878000,1661309999,2022-08-19 11:00:00,2022-08-24 10:59:59,[阴阳八卦☆开运服]小林历奇
24,30111,支援卡池,10,十连免费,1661310000,1661741999,2022-08-24 11:00:00,2022-08-29 10:59:59,"[活动制作人]明亮光晕, [from the GROUND UP]明亮光晕, [Q≠0]爱丽速子"
25,30113,支援卡池,10,十连免费,1661742000,1662148799,2022-08-29 11:00:00,2022-09-03 03:59:59,"[帝王！王！王！！！]东海帝王, [TT Ignition！]双涡轮"
26,30139,支援卡池,10,十连免费,1672282800,1672628399,2022-12-29 11:00:00,2023-01-02 10:59:59,"[平安喜乐寄于板羽球中]特别周, [难以捉摸的绝世佳人]东商变革"
27,30138,角色卡池,10,十连免费,1672628400,1673121599,2023-01-02 11:00:00,2023-01-08 03:59:59,"[压轴主角·庆鹤之志]北部玄驹, [当红之星·荣兴之翠]里见光钻"
28,30148,角色卡池,1,单抽免费,1676343600,1676750399,2023-02-14 11:00:00,2023-02-19 03:59:59,[Wicked Punk]新光风
29,30149,支援卡池,1,单抽免费,1676750400,1677207599,2023-02-19 04:00:00,2023-02-24 10:59:59,"[饱含心意的纸杯蛋糕]西野花, [小感伤预警♪]丸善斯基"
30,30151,支援卡池,10,十连免费,1677207600,1678219199,2023-02-24 11:00:00,2023-03-08 03:59:59,"[特雷森学园]葛城荣主, [特雷森学园]目白拉莫娜, [特雷森学园]森林宝袋, [DEAD·END【休想过去】]森林宝袋, [柔顺飘逸]目白多伯, [放学后的莞尔一笑]鲁道夫象征, [啊，何等美妙的甘甜]爱丽速子, [璨烂]目白拉莫娜"
31,30152,角色卡池,1,单抽免费,1678417200,1679281199,2023-03-10 11:00:00,2023-03-20 10:59:59,[华丽红玉]第一红宝
32,30155,支援卡池,1,单抽免费,1679281200,1680058799,2023-03-20 11:00:00,2023-03-29 10:59:59,"[享用甜～甜的游泳圈吧]菱曙, [迈向永恒的荣光]引领众人的始祖"
33,30163,支援卡池,10,十连免费,1682650800,1683316799,2023-04-28 11:00:00,2023-05-06 03:59:59,"[任务“为内心补充营养”]美浦波旁, [此刻，樱花烂漫]樱花桂冠"
34,30184,角色卡池,1,单抽免费,1691982000,1692845999,2023-08-14 11:00:00,2023-08-24 10:59:59,"[阴阳八卦☆开运服]小林历奇, [星辉之航]北幸樽前"
35,30187,支援卡池,10,十连免费,1692846000,1693684799,2023-08-24 11:00:00,2023-09-03 03:59:59,"[URA员工]佐岳鸣, [黎明将至]佐岳鸣, [志向远大，展翅高飞]神鹰"
36,30213,支援卡池,10,十连免费,1703732400,1704571199,2023-12-28 11:00:00,2024-01-07 03:59:59,"[トレセン学園]ドゥラメンテ, [血脈の胎動]ドゥラメンテ, [百花の願いをこの胸に]サトノダイヤモンド"
37,30220,角色卡池,1,单抽免费,1707879600,1708286399,2024-02-14 11:00:00,2024-02-19 03:59:59,[疾風ペガサス・零式]ビコーペガサス
38,30221,支援卡池,1,单抽免费,1708286400,1708743599,2024-02-19 04:00:00,2024-02-24 10:59:59,
39,30223,支援卡池,10,十连免费,1708743600,1709755199,2024-02-24 11:00:00,2024-03-07 03:59:59,"[トレセン学園]オルフェーヴル, [プロデューサー]都留岐涼花, [トレセン学園]ジェンティルドンナ, [Time flies]トーセンジョーダン, [護るべきは無垢の瞳]ヤエノムテキ, [只、君臨す。]オルフェーヴル, [共に描くキラメキ]都留岐涼花"
40,30224,角色卡池,1,单抽免费,1710212400,1710989999,2024-03-12 11:00:00,2024-03-21 10:59:59,[ZOKU-ZOKU GIZMO]トランセンド
41,30227,支援卡池,1,单抽免费,1710990000,1711681199,2024-03-21 11:00:00,2024-03-29 10:59:59,"[トレセン学園]シュヴァルグラン, [トレセン学園]ラインクラフト, [Cheers!]タップダンスシチー, [Over the Ocean]シュヴァルグラン"
42,30237,支援卡池,10,十连免费,1714446000,1715111999,2024-04-30 11:00:00,2024-05-08 03:59:59,"[トレセン学園]ヒシミラクル, [トレセン学園]ノーリーズン, [わーく・あ・みらくる！]ヒシミラクル, [Take Them Down!]ナリタタイシン"
43,30253,支援卡池,10,十连免费,1719370800,1720036799,2024-06-26 11:00:00,2024-07-04 03:59:59,"[トレセン学園]秋川理事長, [謹製ッ！特大夢にんじん！]秋川理事長, [朝焼け苺の畑にて]ニシノフラワー"
44,30265,支援卡池,1,单抽免费,1723604400,1724468399,2024-08-14 11:00:00,2024-08-24 10:59:59,"[救いはあるよっ♪]メジロパーマー, [歴史も美食も余すところなく]ファインモーション"
45,30269,支援卡池,10,十连免费,1724468400,1725307199,2024-08-24 11:00:00,2024-09-03 03:59:59,"[トレセン学園]スティルインラブ, [トレセン学園]ブエナビスタ, [みんなにグッドマーベラス☆]マーベラスサンデー, [Devilish Whispers]スティルインラブ"
46,30285,支援卡池,10,十连免费,1730170800,1730836799,2024-10-29 11:00:00,2024-11-06 03:59:59,"[Cocoon]エアシャカール, [緋色の君へ風が吹く]ダイワスカーレット"
