Exchange ID,Top ID,Disp Order,Pay Item Name,Pay Item Num,Change Item Name,Change Item Num,Start Date,End Date
27,2000,40,好友积分,1000,增加可关注上限,1,2017-05-31 15:00:00,2050-08-01 14:59:59
2001,2000,20,好友积分,10000,[乌菈菈～的休息日]春乌菈菈,1,2017-05-31 15:00:00,2050-08-01 14:59:59
2002,2000,4,好友积分,2000,米浴的碎片,5,2017-05-31 15:00:00,2021-03-31 19:59:59
2003,2000,4,好友积分,2000,黄金船的碎片,5,2021-04-30 03:00:00,2021-05-14 19:59:59
2004,2000,5,好友积分,1500,协助积分,1000,2021-04-30 03:00:00,2021-05-14 19:59:59
2005,2000,16,好友积分,20000,养成优俊少女招募券,1,2021-12-01 03:00:00,2050-08-01 14:59:59
2006,2000,17,好友积分,20000,协助卡招募券,1,2021-12-01 03:00:00,2050-08-01 14:59:59
2007,2000,1,好友积分,2000,黄金船的碎片,5,2022-04-28 03:00:00,2022-05-17 19:59:59
2008,2000,2,好友积分,3000,特别周的碎片,5,2022-04-30 07:00:00,2022-05-17 19:59:59
2009,2000,1,好友积分,3000,小栗帽的碎片,5,2022-11-28 03:00:00,2022-12-29 02:59:59
2010,2000,2,好友积分,3000,琵琶晨光的碎片,5,2022-11-28 03:00:00,2022-12-29 02:59:59
2011,2000,5,好友积分,3000,好歌剧的碎片,5,2023-04-17 03:00:00,2023-05-14 19:59:59
2012,2000,6,好友积分,3000,爱慕织姬的碎片,5,2023-04-17 03:00:00,2023-05-14 19:59:59
2013,2000,1,好友积分,3000,黄金城的碎片,5,2023-04-28 03:00:00,2023-05-17 19:59:59
2014,2000,2,好友积分,3000,岛川乔丹的碎片,5,2023-04-28 03:00:00,2023-05-17 19:59:59
2015,2000,3,好友积分,3000,目白善信的碎片,5,2023-04-28 03:00:00,2023-05-17 19:59:59
2016,2000,4,好友积分,3000,大拓太阳神的碎片,5,2023-04-28 03:00:00,2023-05-17 19:59:59
