id,image_id,legend_name,notice_time,start_time,end_time
2,101401,[小鹰☆Número 1]神鹰,,2021-03-16 11:00:00,2021-03-19 03:59:59
3,100101,[特别追梦者]特别周,,2021-03-19 04:00:00,2021-03-22 03:59:59
4,101701,[皇帝]鲁道夫象征,,2021-03-22 04:00:00,2021-03-25 03:59:59
6,106101,[翠玉之王]帝王光辉,2021-04-12 11:00:00,2021-04-15 11:00:00,2021-04-18 03:59:59
7,101001,[狂野前线]大树快车,2021-04-18 04:00:00,2021-04-18 04:00:00,2021-04-21 03:59:59
8,104101,[樱花，前进！]樱花进王,2021-04-21 04:00:00,2021-04-21 04:00:00,2021-04-24 03:59:59
9,103801,[闪电少女]真机伶,2021-04-24 04:00:00,2021-04-24 04:00:00,2021-04-27 03:59:59
11,103501,[Go To Winning！]胜利奖券,2021-05-16 11:00:00,2021-05-19 11:00:00,2021-05-22 03:59:59
12,100801,[极速狂飙]伏特加,2021-05-22 04:00:00,2021-05-22 04:00:00,2021-05-25 03:59:59
13,100301,[喜乐无边]东海帝王,2021-05-25 04:00:00,2021-05-25 04:00:00,2021-05-28 03:59:59
15,102401,[竞争☆领域]重炮,2021-06-14 11:00:00,2021-06-17 11:00:00,2021-06-20 03:59:59
16,101301,[优雅曲线]目白麦昆,2021-06-20 04:00:00,2021-06-20 04:00:00,2021-06-23 03:59:59
17,101501,[O sole suo！]好歌剧,2021-06-23 04:00:00,2021-06-23 04:00:00,2021-06-26 03:59:59
18,104501,[潺潺溪流]超级溪流,2021-06-26 04:00:00,2021-06-26 04:00:00,2021-06-29 03:59:59
19,102701,[一往无前]目白莱恩,2021-08-11 11:00:00,2021-08-15 11:00:00,2021-08-18 03:59:59
20,100201,[无声无瑕]无声铃鹿,2021-08-18 04:00:00,2021-08-18 04:00:00,2021-08-21 03:59:59
21,100701,[赤色纷争]黄金船,2021-08-21 04:00:00,2021-08-21 04:00:00,2021-08-24 03:59:59
22,100401,[绯红方程式]丸善斯基,2021-09-10 11:00:00,2021-09-14 11:00:00,2021-09-17 03:59:59
23,100501,[流星歌剧]富士奇石,2021-09-17 04:00:00,2021-09-17 04:00:00,2021-09-20 03:59:59
24,102601,[MB-19890425]美浦波旁,2021-09-20 04:00:00,2021-09-20 04:00:00,2021-09-23 03:59:59
26,105601,[运气高升☆祈福运来]待兼福来,2021-10-11 11:00:00,2021-10-15 11:00:00,2021-10-18 03:59:59
27,102001,[青云垂钓者]青云天空,2021-10-18 04:00:00,2021-10-18 04:00:00,2021-10-21 03:59:59
28,102301,[pf.胜利公式]琵琶晨光,2021-10-21 04:00:00,2021-10-21 04:00:00,2021-10-24 03:59:59
29,101801,[女帝之路]气槽,2021-11-08 11:00:00,2021-11-12 11:00:00,2021-11-15 03:59:59
30,103701,[Meisterschaft]荣进闪耀,2021-11-15 04:00:00,2021-11-15 04:00:00,2021-11-18 03:59:59
