Event ID,Event Name,Notice Time,Start Time,Middle Time 1,Middle Time 2,Ending Time,End Time
1001,向着你的梦想奔跑吧！,2021-01-15 11:00:00,2021-03-02 11:00:00,2021-03-07 11:00:00,2021-03-11 11:00:00,2021-03-15 10:59:59,2021-03-18 10:59:59
1002,Brand-new Friend,2021-03-26 11:00:00,2021-03-30 11:00:00,2021-04-05 11:00:00,2021-04-11 11:00:00,2021-04-15 10:59:59,2021-04-18 10:59:59
1003,花开少女JunePride,2021-05-24 11:00:00,2021-05-28 11:00:00,2021-06-04 11:00:00,2021-06-07 11:00:00,2021-06-10 10:59:59,2021-06-13 10:59:59
1004,幻想世界优俊大陆,2021-06-28 11:00:00,2021-06-29 11:00:00,2021-07-06 11:00:00,2021-07-09 11:00:00,2021-07-12 10:59:59,2021-07-15 10:59:59
1005,若她换上了泳装 优俊少女夏日物语,2021-07-28 11:00:00,2021-07-29 11:00:00,2021-08-06 11:00:00,2021-08-09 11:00:00,2021-08-11 10:59:59,2021-08-14 10:59:59
1006,Make up in Halloween！,2021-09-28 11:00:00,2021-09-29 11:00:00,2021-10-05 11:00:00,2021-10-09 11:00:00,2021-10-11 10:59:59,2021-10-14 10:59:59
1007,晚秋骏典乐争鸣,2021-10-27 11:00:00,2021-10-28 11:00:00,2021-11-03 11:00:00,2021-11-06 11:00:00,2021-11-08 10:59:59,2021-11-11 10:59:59
1008,神圣之夜的双重奇迹,2021-11-28 11:00:00,2021-11-29 11:00:00,2021-12-06 11:00:00,2021-12-09 11:00:00,2021-12-14 10:59:59,2021-12-17 10:59:59
1009,瑞雪纷飞！新春歌牌大赛,2021-12-30 11:00:00,2021-12-31 11:00:00,2022-01-04 11:00:00,2022-01-08 11:00:00,2022-01-11 10:59:59,2022-01-14 10:59:59
1010,荣冠西点大师,2022-01-27 21:00:00,2022-01-28 11:00:00,2022-02-01 11:00:00,2022-02-04 11:00:00,2022-02-08 10:59:59,2022-02-11 10:59:59
1011,展翅翱翔的Run-up！,2022-02-23 11:00:00,2022-02-24 11:00:00,2022-02-28 11:00:00,2022-03-02 11:00:00,2022-03-07 10:59:59,2022-03-10 10:59:59
1012,今夜，起舞于最终直道,2022-03-28 11:00:00,2022-03-29 11:00:00,2022-04-02 11:00:00,2022-04-06 11:00:00,2022-04-11 10:59:59,2022-04-14 10:59:59
1013,高声喝彩！特雷森学园后援团,2022-04-27 11:00:00,2022-04-28 11:00:00,2022-05-02 11:00:00,2022-05-06 11:00:00,2022-05-10 10:59:59,2022-05-13 10:59:59
1014,“限时”～Silks&Three Riddles～,2022-05-29 21:00:00,2022-05-30 11:00:00,2022-06-02 11:00:00,2022-06-06 11:00:00,2022-06-10 10:59:59,2022-06-13 10:59:59
1015,探索、解谜、夏日漫游！,2022-06-29 21:00:00,2022-06-30 11:00:00,2022-07-02 11:00:00,2022-07-06 11:00:00,2022-07-11 10:59:59,2022-07-14 10:59:59
1016,大混战？！夏日☆假期,2022-07-28 11:00:00,2022-07-29 11:00:00,2022-08-02 11:00:00,2022-08-06 11:00:00,2022-08-10 10:59:59,2022-08-13 10:59:59
1017,铁翼蒸汽奇谭,2022-08-28 11:00:00,2022-08-29 11:00:00,2022-09-02 11:00:00,2022-09-06 11:00:00,2022-09-12 10:59:59,2022-09-15 10:59:59
1018,转瞬即逝的日子,2022-09-28 11:00:00,2022-09-29 11:00:00,2022-10-02 11:00:00,2022-10-06 11:00:00,2022-10-11 10:59:59,2022-10-14 10:59:59
1019,信念相承，为信而驰,2022-10-27 21:00:00,2022-10-28 11:00:00,2022-11-03 11:00:00,2022-11-06 11:00:00,2022-11-09 10:59:59,2022-11-12 10:59:59
1020,Illuminate the Heart,2022-11-27 11:00:00,2022-11-28 11:00:00,2022-12-03 11:00:00,2022-12-06 11:00:00,2022-12-12 10:59:59,2022-12-15 10:59:59
1021,Happy new future ～朝霞寄情谊～,2022-12-28 21:00:00,2022-12-29 11:00:00,2023-01-03 11:00:00,2023-01-06 11:00:00,2023-01-10 10:59:59,2023-01-13 10:59:59
1022,甜蜜回忆·下午茶时光,2023-01-29 11:00:00,2023-01-30 11:00:00,2023-02-06 11:00:00,2023-02-09 11:00:00,2023-02-13 10:59:59,2023-02-16 10:59:59
1023,Leap into a New World!,2023-02-23 11:00:00,2023-02-24 11:00:00,2023-02-28 11:00:00,2023-03-02 11:00:00,2023-03-10 10:59:59,2023-03-13 10:59:59
1024,惟由君故，方使我怜,2023-03-28 11:00:00,2023-03-29 11:00:00,2023-04-02 11:00:00,2023-04-06 11:00:00,2023-04-10 10:59:59,2023-04-13 10:59:59
1025,神机妙算？！春日！激战魔鬼躲避球,2023-04-27 11:00:00,2023-04-28 11:00:00,2023-05-04 11:00:00,2023-05-07 11:00:00,2023-05-10 10:59:59,2023-05-13 10:59:59
1026,宣誓，向奋战的你求婚,2023-05-28 11:00:00,2023-05-29 11:00:00,2023-06-02 11:00:00,2023-06-06 11:00:00,2023-06-09 10:59:59,2023-06-12 10:59:59
1027,#summer #besties,2023-06-28 11:00:00,2023-06-29 11:00:00,2023-07-02 11:00:00,2023-07-06 11:00:00,2023-07-10 10:59:59,2023-07-13 10:59:59
1028,夏阳碧空，煦日无风,2023-07-30 21:00:00,2023-07-31 11:00:00,2023-08-03 11:00:00,2023-08-07 11:00:00,2023-08-14 10:59:59,2023-08-17 10:59:59
1029,フェアウェルを継ぎ接いで,2023-09-28 21:00:00,2023-09-29 11:00:00,2023-10-02 11:00:00,2023-10-06 11:00:00,2023-10-10 10:59:59,2023-10-13 10:59:59
1030,秋さびて、想ひ綴る,2023-10-29 11:00:00,2023-10-30 11:00:00,2023-11-02 11:00:00,2023-11-06 11:00:00,2023-11-09 10:59:59,2023-11-12 10:59:59
1031,A Gleaming Mejiro Gala,2023-11-29 21:00:00,2023-11-30 11:00:00,2023-12-02 11:00:00,2023-12-06 11:00:00,2023-12-11 10:59:59,2023-12-14 10:59:59
1032,ワタシモミンナノ,2023-12-28 00:15:00,2023-12-28 11:00:00,2023-12-30 11:00:00,2024-01-05 11:00:00,2024-01-09 10:59:59,2024-01-12 10:59:59
1033,おでんせ！和みの幸味庵,2024-01-30 11:00:00,2024-01-31 11:00:00,2024-02-05 11:00:00,2024-02-10 11:00:00,2024-02-14 10:59:59,2024-02-17 10:59:59
1034,彗星蘭の君へ～Let's dance now!～,2024-03-28 21:00:00,2024-03-29 11:00:00,2024-03-31 11:00:00,2024-04-02 11:00:00,2024-04-09 10:59:59,2024-04-12 10:59:59
1035,下剋上、兵どもが鬨の声,2024-04-29 11:00:00,2024-04-30 11:00:00,2024-05-02 11:00:00,2024-05-04 11:00:00,2024-05-10 10:59:59,2024-05-13 10:59:59
1036,拝啓、波真珠の私より,2024-05-29 11:00:00,2024-05-30 11:00:00,2024-06-01 11:00:00,2024-06-03 11:00:00,2024-06-13 10:59:59,2024-06-16 10:59:59
1037,夕映えは渚のJugend,2024-07-28 11:00:00,2024-07-29 11:00:00,2024-07-31 11:00:00,2024-08-06 11:00:00,2024-08-14 10:59:59,2024-08-17 10:59:59
1038,あなたと仰ぐハーベストムーン,2024-08-29 11:00:00,2024-08-30 11:00:00,2024-09-01 11:00:00,2024-09-04 11:00:00,2024-09-10 10:59:59,2024-09-13 10:59:59
1039,スラップスティック・クラッシュ！,2024-09-29 11:00:00,2024-09-30 11:00:00,2024-10-02 11:00:00,2024-10-04 11:00:00,2024-10-11 10:59:59,2024-10-14 10:59:59
1040,つどい歌えよ、星々よ！,2024-11-27 21:00:00,2024-11-28 11:00:00,2024-11-30 11:00:00,2024-12-02 11:00:00,2024-12-10 10:59:59,2024-12-13 10:59:59
1041,画竜、暁風を呼ぶ,2024-12-26 11:00:00,2024-12-27 11:00:00,2024-12-29 11:00:00,2024-12-31 11:00:00,2025-01-10 10:59:59,2025-01-13 10:59:59
1042,Melty♡ for U,2025-01-30 11:00:00,2025-01-31 11:00:00,2025-02-02 11:00:00,2025-02-04 11:00:00,2025-02-14 10:59:59,2025-02-17 10:59:59
1043,Phantasmagoria　～幻踏～,2025-03-30 11:00:00,2025-03-31 11:00:00,2025-04-02 11:00:00,2025-04-04 11:00:00,2025-04-10 10:59:59,2025-04-13 10:59:59
1044,宙照らす、ドリーミーナイトパレード,2025-04-29 11:00:00,2025-04-30 11:00:00,2025-05-02 11:00:00,2025-05-04 11:00:00,2025-05-12 10:59:59,2025-05-15 10:59:59
1045,青水無月の花浜匙,2025-05-29 11:00:00,2025-05-30 11:00:00,2025-06-01 11:00:00,2025-06-03 11:00:00,2025-06-13 10:59:59,2025-06-16 10:59:59
1046,サマーデイズ『キミ』グラフィティ,2025-07-30 21:00:00,2025-07-31 11:00:00,2025-08-02 11:00:00,2025-08-04 11:00:00,2025-08-14 10:59:59,2025-08-17 10:59:59
1047,ことば・こころ・ひびけ,2025-08-28 11:00:00,2025-08-29 11:00:00,2025-08-31 11:00:00,2025-09-02 11:00:00,2025-09-09 10:59:59,2025-09-12 10:59:59
1048,Act 0：脚光、届けトラピーズ！,2025-09-28 21:00:00,2025-09-29 11:00:00,2025-10-01 11:00:00,2025-10-03 11:00:00,2025-10-10 10:59:59,2025-10-13 10:59:59
