Transfer Event ID,Item ID,Item Name,Item Category,Count,Total Num,Start Date,End Date
1,110,协助积分,30,12,7200,2021-07-18 03:00:00,2021-07-20 02:59:59
1,59,金币,91,12,38000,2021-07-18 03:00:00,2021-07-20 02:59:59
2,110,协助积分,30,6,3600,2021-08-13 03:00:00,2021-08-15 02:59:59
2,59,金币,91,6,19000,2021-08-13 03:00:00,2021-08-15 02:59:59
3,110,协助积分,30,6,3600,2021-09-12 03:00:00,2021-09-14 02:59:59
3,59,金币,91,6,19000,2021-09-12 03:00:00,2021-09-14 02:59:59
4,110,协助积分,30,6,3600,2021-10-13 03:00:00,2021-10-15 02:59:59
4,59,金币,91,6,19000,2021-10-13 03:00:00,2021-10-15 02:59:59
5,110,协助积分,30,6,3600,2021-11-10 03:00:00,2021-11-12 02:59:59
5,59,金币,91,6,19000,2021-11-10 03:00:00,2021-11-12 02:59:59
6,110,协助积分,30,6,3600,2021-12-29 03:00:00,2021-12-31 02:59:59
6,59,金币,91,6,19000,2021-12-29 03:00:00,2021-12-31 02:59:59
7,110,协助积分,30,6,3600,2022-01-20 03:00:00,2022-01-22 02:59:59
7,59,金币,91,6,19000,2022-01-20 03:00:00,2022-01-22 02:59:59
8,110,协助积分,30,6,3600,2022-02-19 03:00:00,2022-02-21 02:59:59
8,59,金币,91,6,19000,2022-02-19 03:00:00,2022-02-21 02:59:59
9,110,协助积分,30,6,3600,2022-03-18 03:00:00,2022-03-20 02:59:59
9,59,金币,91,6,19000,2022-03-18 03:00:00,2022-03-20 02:59:59
10,110,协助积分,30,6,3600,2022-04-13 03:00:00,2022-04-15 02:59:59
10,59,金币,91,6,19000,2022-04-13 03:00:00,2022-04-15 02:59:59
11,110,协助积分,30,6,3600,2022-05-21 03:00:00,2022-05-23 02:59:59
11,59,金币,91,6,19000,2022-05-21 03:00:00,2022-05-23 02:59:59
12,110,协助积分,30,6,3600,2022-06-22 03:00:00,2022-06-24 02:59:59
12,59,金币,91,6,19000,2022-06-22 03:00:00,2022-06-24 02:59:59
13,163,稀有启发专业书,11,2,2,2022-08-03 03:00:00,2022-08-10 02:59:59
13,160,启发书,11,2,4,2022-08-03 03:00:00,2022-08-10 02:59:59
13,174,星之果实,20,9,9,2022-08-03 03:00:00,2022-08-10 02:59:59
13,110,协助积分,30,12,9000,2022-08-03 03:00:00,2022-08-10 02:59:59
13,59,金币,91,12,48000,2022-08-03 03:00:00,2022-08-10 02:59:59
13,162,稀有启发书,11,1,2,2022-07-27 03:00:00,2022-08-03 02:59:59
13,161,启发专业书,11,1,2,2022-07-27 03:00:00,2022-08-03 02:59:59
14,110,协助积分,30,9,5400,2022-08-23 03:00:00,2022-08-25 02:59:59
14,59,金币,91,9,28500,2022-08-23 03:00:00,2022-08-25 02:59:59
15,110,协助积分,30,6,3600,2022-09-22 03:00:00,2022-09-24 02:59:59
15,59,金币,91,6,19000,2022-09-22 03:00:00,2022-09-24 02:59:59
16,110,协助积分,30,6,3600,2022-10-21 03:00:00,2022-10-23 02:59:59
16,59,金币,91,6,19000,2022-10-21 03:00:00,2022-10-23 02:59:59
17,110,协助积分,30,6,3600,2022-11-20 03:00:00,2022-11-22 02:59:59
17,59,金币,91,6,19000,2022-11-20 03:00:00,2022-11-22 02:59:59
18,110,协助积分,30,6,3600,2022-12-22 03:00:00,2022-12-24 02:59:59
18,59,金币,91,6,19000,2022-12-22 03:00:00,2022-12-24 02:59:59
19,110,协助积分,30,6,3600,2023-01-22 03:00:00,2023-01-24 02:59:59
19,59,金币,91,6,19000,2023-01-22 03:00:00,2023-01-24 02:59:59
20,163,稀有启发专业书,11,2,2,2023-03-06 03:00:00,2023-03-11 02:59:59
20,160,启发书,11,2,4,2023-03-06 03:00:00,2023-03-11 02:59:59
20,174,星之果实,20,9,9,2023-03-06 03:00:00,2023-03-11 02:59:59
20,110,协助积分,30,12,9000,2023-03-06 03:00:00,2023-03-11 02:59:59
20,59,金币,91,12,48000,2023-03-06 03:00:00,2023-03-11 02:59:59
20,162,稀有启发书,11,1,2,2023-03-01 03:00:00,2023-03-06 02:59:59
20,161,启发专业书,11,1,2,2023-03-01 03:00:00,2023-03-06 02:59:59
21,110,协助积分,30,6,3600,2023-03-22 03:00:00,2023-03-24 02:59:59
21,59,金币,91,6,19000,2023-03-22 03:00:00,2023-03-24 02:59:59
22,110,协助积分,30,6,3600,2023-04-21 03:00:00,2023-04-23 02:59:59
22,59,金币,91,6,19000,2023-04-21 03:00:00,2023-04-23 02:59:59
23,110,协助积分,30,6,3600,2023-05-21 03:00:00,2023-05-23 02:59:59
23,59,金币,91,6,19000,2023-05-21 03:00:00,2023-05-23 02:59:59
24,110,协助积分,30,6,3600,2023-06-21 03:00:00,2023-06-23 02:59:59
24,59,金币,91,6,19000,2023-06-21 03:00:00,2023-06-23 02:59:59
25,110,协助积分,30,6,3600,2023-07-23 03:00:00,2023-07-25 02:59:59
25,59,金币,91,6,19000,2023-07-23 03:00:00,2023-07-25 02:59:59
26,163,稀有启发专业书,11,3,3,2023-11-12 20:00:00,2023-11-19 19:59:59
26,160,启发书,11,3,15,2023-11-12 20:00:00,2023-11-19 19:59:59
26,44,梦想光辉,93,9,45,2023-11-12 20:00:00,2023-11-19 19:59:59
26,32,能量饮料30,20,3,3,2023-11-12 20:00:00,2023-11-19 19:59:59
26,161,启发专业书,11,3,9,2023-11-12 20:00:00,2023-11-19 19:59:59
26,59,金币,91,6,30000,2023-11-12 20:00:00,2023-11-19 19:59:59
26,110,协助积分,30,6,15000,2023-11-12 20:00:00,2023-11-19 19:59:59
26,162,稀有启发书,11,3,9,2023-11-12 20:00:00,2023-11-19 19:59:59
