id,image_id,legend_name,notice_time,start_time,end_time
2,101401,[小鹰☆Número 1]神鹰,2023-09-19 12:00:00,2023-09-19 12:00:00,2023-09-22 04:59:59
3,100101,[特别追梦者]特别周,2023-09-22 05:00:00,2023-09-22 05:00:00,2023-09-25 04:59:59
4,101701,[皇帝]鲁道夫象征,2023-09-25 05:00:00,2023-09-25 05:00:00,2023-09-28 04:59:59
6,106101,[翠玉之王]帝王光辉,2023-10-19 12:00:00,2023-10-19 12:00:00,2023-10-22 04:59:59
7,101001,[狂野前线]大树快车,2023-10-22 05:00:00,2023-10-22 05:00:00,2023-10-25 04:59:59
8,104101,[樱花，前进！]樱花进王,2023-10-25 05:00:00,2023-10-25 05:00:00,2023-10-28 04:59:59
9,103801,[闪电少女]真机伶,2023-10-28 05:00:00,2023-10-28 05:00:00,2023-10-31 04:59:59
11,103501,[Go To Winning！]胜利奖券,2023-11-22 12:00:00,2023-11-22 12:00:00,2023-11-25 04:59:59
12,100801,[极速狂飙]伏特加,2023-11-25 05:00:00,2023-11-25 05:00:00,2023-11-28 04:59:59
13,100301,[喜乐无边]东海帝王,2023-11-28 05:00:00,2023-11-28 05:00:00,2023-12-01 04:59:59
15,102401,[竞争☆领域]重炮,2023-12-21 12:00:00,2023-12-21 12:00:00,2023-12-24 04:59:59
16,101301,[优雅曲线]目白麦昆,2023-12-24 05:00:00,2023-12-24 05:00:00,2023-12-27 04:59:59
17,101501,[O sole suo！]好歌剧,2023-12-27 05:00:00,2023-12-27 05:00:00,2023-12-30 04:59:59
18,104501,[潺潺溪流]超级溪流,2023-12-30 05:00:00,2023-12-30 05:00:00,2024-01-02 04:59:59
19,102701,[一往无前]目白莱恩,2024-02-18 12:00:00,2024-02-18 12:00:00,2024-02-21 04:59:59
20,100201,[无声无瑕]无声铃鹿,2024-02-21 05:00:00,2024-02-21 05:00:00,2024-02-24 04:59:59
21,100701,[赤色纷争]黄金船,2024-02-24 05:00:00,2024-02-24 05:00:00,2024-02-27 04:59:59
