table,removed_rows
banner_data,3
chara_data,9
chara_type,3360
chara_motion_set,9
character_prop_animation,9
dress_data,189
skill_data,98
character_system_text,158
character_system_lottery,9
circle_stamp_data,3
gacha_top_bg,36
announce_data,1
home_event_schedule,2
jukebox_music_data,2
jukebox_reaction_data,309
item_data,7
item_exchange,36
item_exchange_top,3
limited_exchange,1
legend_race_npc,6
login_bonus_detail,10
mission_data,63
race,14
race_course_set,3
race_bgm,35
race_bgm_cutin,2
race_jikkyo_base,4
race_jikkyo_cue,84
race_jikkyo_message,1
race_jikkyo_trigger,1
race_trophy,106
single_mode_program,3
single_mode_npc,61
succession_factor_effect,88
single_mode_wins_saddle,140
single_mode_route_race,3
single_mode_rival,7
single_mode_race_group,3
single_mode_story_data,18
background_data,9
main_story_part,5
background_offset_data,10
story_event_data,1
story_event_point_reward,965
text_data,404
honor_data,8
campaign_data,1
training_challenge_master,2
fan_raid_data,1
fan_raid_top_data,4
team_building_basic_reward,8
team_building_race_npc,4
team_building_rank,5
team_building_rank_reward_group,6
team_building_scout_point,69
training_report_pass,4
training_report_normal_reward,70
training_report_special_reward,89
