Event ID,Event Name,Notice Time,Start Time,Middle Time 1,Middle Time 2,Ending Time,End Time
1001,向着你的梦想奔跑吧！,2023-07-21 12:00:00,2023-09-05 12:00:00,2023-09-10 12:00:00,2023-09-14 12:00:00,2023-09-18 11:59:59,2023-09-21 11:59:59
1002,Brand-new Friend,2023-09-29 12:00:00,2023-10-03 12:00:00,2023-10-09 12:00:00,2023-10-15 12:00:00,2023-10-19 11:59:59,2023-10-22 11:59:59
1003,花开少女JunePride,2023-11-27 12:00:00,2023-12-01 12:00:00,2023-12-08 12:00:00,2023-12-11 12:00:00,2023-12-14 11:59:59,2023-12-17 11:59:59
1004,幻想世界优俊大陆,2024-01-01 12:00:00,2024-01-02 12:00:00,2024-01-09 12:00:00,2024-01-12 12:00:00,2024-01-15 11:59:59,2024-01-18 11:59:59
1005,若她换上了泳装 优俊少女夏日物语,2024-01-31 12:00:00,2024-02-01 12:00:00,2024-02-09 12:00:00,2024-02-12 12:00:00,2024-02-14 11:59:59,2024-02-17 11:59:59
1006,Make up in Halloween！,2025-06-02 12:00:00,2025-06-03 12:00:00,2025-06-09 12:00:00,2025-06-13 12:00:00,2025-06-15 11:59:59,2025-06-18 11:59:59
1007,晚秋骏典乐争鸣,2025-06-20 12:00:00,2025-06-21 12:00:00,2025-06-27 12:00:00,2025-06-30 12:00:00,2025-07-02 11:59:59,2025-07-05 11:59:59
1008,神圣之夜的双重奇迹,2025-07-08 12:00:00,2025-07-09 12:00:00,2025-07-16 12:00:00,2025-07-19 12:00:00,2025-07-24 11:59:59,2025-07-27 11:59:59
1009,瑞雪纷飞！新春歌牌大赛,2025-07-28 12:00:00,2025-07-29 12:00:00,2025-08-02 12:00:00,2025-08-06 12:00:00,2025-08-09 11:59:59,2025-08-12 11:59:59
1010,荣冠西点大师,2025-08-15 22:00:00,2025-08-16 12:00:00,2025-08-20 12:00:00,2025-08-23 12:00:00,2025-08-27 11:59:59,2025-08-30 11:59:59
1011,展翅翱翔的Run-up！,2025-09-04 12:00:00,2025-09-05 12:00:00,2025-09-09 12:00:00,2025-09-11 12:00:00,2025-09-16 11:59:59,2025-09-19 11:59:59
1012,今夜，起舞于最终直道,2025-09-28 12:00:00,2025-09-29 12:00:00,2025-10-03 12:00:00,2025-10-07 12:00:00,2025-10-12 11:59:59,2025-10-15 11:59:59
1013,高声喝彩！特雷森学园后援团,2025-10-19 12:00:00,2025-10-20 12:00:00,2025-10-24 12:00:00,2025-10-28 12:00:00,2025-11-01 11:59:59,2025-11-04 11:59:59
1014,“限时”～Silks&Three Riddles～,2025-11-06 22:00:00,2025-11-07 12:00:00,2025-11-10 12:00:00,2025-11-14 12:00:00,2025-11-18 11:59:59,2025-11-21 11:59:59
1015,探索、解谜、夏日漫游！,2025-11-26 22:00:00,2025-11-27 12:00:00,2025-11-29 12:00:00,2025-12-03 12:00:00,2025-12-08 11:59:59,2025-12-11 11:59:59
1016,大混战？！夏日☆假期,2025-12-16 12:00:00,2025-12-17 12:00:00,2025-12-21 12:00:00,2025-12-25 12:00:00,2025-12-29 11:59:59,2026-01-01 11:59:59
1017,铁翼蒸汽奇谭,2026-01-04 12:00:00,2026-01-05 12:00:00,2026-01-09 12:00:00,2026-01-13 12:00:00,2026-01-19 11:59:59,2026-01-22 11:59:59
1018,转瞬即逝的日子,2026-01-27 12:00:00,2026-01-28 12:00:00,2026-01-31 12:00:00,2026-02-04 12:00:00,2026-02-09 11:59:59,2026-02-12 11:59:59
1019,信念相承，为信而驰,2026-02-12 22:00:00,2026-02-13 12:00:00,2026-02-19 12:00:00,2026-02-22 12:00:00,2026-02-25 11:59:59,2026-02-28 11:59:59
1020,Illuminate the Heart,2026-03-04 12:00:00,2026-03-05 12:00:00,2026-03-10 12:00:00,2026-03-13 12:00:00,2026-03-19 11:59:59,2026-03-22 11:59:59
1021,Happy new future ～朝霞寄情谊～,2026-03-27 22:00:00,2026-03-28 12:00:00,2026-04-02 12:00:00,2026-04-05 12:00:00,2026-04-09 11:59:59,2026-04-12 11:59:59
1022,甜蜜回忆·下午茶时光,2026-04-17 12:00:00,2026-04-18 12:00:00,2026-04-25 12:00:00,2026-04-28 12:00:00,2026-05-02 11:59:59,2026-05-05 11:59:59
1023,Leap into a New World!,2026-05-06 12:00:00,2026-05-07 05:00:00,2026-05-11 12:00:00,2026-05-13 12:00:00,2026-05-21 11:59:59,2026-05-24 11:59:59
1024,惟由君故，方使我怜,2026-05-29 12:00:00,2026-05-30 12:00:00,2026-06-03 12:00:00,2026-06-07 12:00:00,2026-06-11 11:59:59,2026-06-14 11:59:59
1025,神机妙算？！春日！激战魔鬼躲避球,2026-06-19 12:00:00,2026-06-20 12:00:00,2026-06-26 12:00:00,2026-06-29 12:00:00,2026-07-02 11:59:59,2026-07-05 11:59:59
1026,宣誓，向奋战的你求婚,2026-07-08 12:00:00,2026-07-09 12:00:00,2026-07-13 12:00:00,2026-07-17 12:00:00,2026-07-20 11:59:59,2026-07-23 11:59:59
1027,#summer #besties,2026-07-29 12:00:00,2026-07-30 12:00:00,2026-08-02 12:00:00,2026-08-06 12:00:00,2026-08-10 11:59:59,2026-08-13 11:59:59
1028,夏阳碧空，煦日无风,2026-08-14 22:00:00,2026-08-15 12:00:00,2026-08-18 12:00:00,2026-08-22 12:00:00,2026-08-29 11:59:59,2026-09-01 11:59:59
